Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Frank Gore Jr. (41434906),Frank Gore Jr.,41434906,RB/FLEX,4000,BUF@JAX 01/11/2026 01:00PM ET,BUF,0
RB,Reggie Gilliam (41434908),Reggie Gilliam,41434908,RB/FLEX,4000,BUF@JAX 01/11/2026 01:00PM ET,BUF,0.28
WR,Jahan Dotson (41434972),Jahan Dotson,41434972,WR/FLEX,3900,SF@PHI 01/11/2026 04:30PM ET,PHI,2.95
TE,Brenton Strange (41435066),Brenton Strange,41435066,TE/FLEX,3900,BUF@JAX 01/11/2026 01:00PM ET,JAX,9.83
WR,Kyle Williams (41434974),Kyle Williams,41434974,WR/FLEX,3800,LAC@NE 01/11/2026 08:00PM ET,NE,2.89
TE,Dalton Kincaid (41435068),Dalton Kincaid,41435068,TE/FLEX,3800,BUF@JAX 01/11/2026 01:00PM ET,BUF,11.01
WR,Kendrick Bourne (41434976),Kendrick Bourne,41434976,WR/FLEX,3600,SF@PHI 01/11/2026 04:30PM ET,SF,6.13
WR,DeMario Douglas (41434978),DeMario Douglas,41434978,WR/FLEX,3500,LAC@NE 01/11/2026 08:00PM ET,NE,5.81
WR,Brandin Cooks (41434980),Brandin Cooks,41434980,WR/FLEX,3500,BUF@JAX 01/11/2026 01:00PM ET,BUF,3.66
TE,Oronde Gadsden II (41435070),Oronde Gadsden II,41435070,TE/FLEX,3400,LAC@NE 01/11/2026 08:00PM ET,LAC,9.03
WR,Joshua Palmer (41434982),Joshua Palmer,41434982,WR/FLEX,3400,BUF@JAX 01/11/2026 01:00PM ET,BUF,4.36
WR,Demarcus Robinson (41434986),Demarcus Robinson,41434986,WR/FLEX,3300,SF@PHI 01/11/2026 04:30PM ET,SF,4.16
WR,Efton Chism III (41434988),Efton Chism III,41434988,WR/FLEX,3300,LAC@NE 01/11/2026 08:00PM ET,NE,2.06
WR,Gabe Davis (41434984),Gabe Davis,41434984,WR/FLEX,3300,BUF@JAX 01/11/2026 01:00PM ET,BUF,5.15
TE,Dawson Knox (41435072),Dawson Knox,41435072,TE/FLEX,3300,BUF@JAX 01/11/2026 01:00PM ET,BUF,6.1
WR,Tre' Harris (41434992),Tre' Harris,41434992,WR/FLEX,3200,LAC@NE 01/11/2026 08:00PM ET,LAC,4.08
DST,Patriots  (41435118),Patriots ,41435118,DST,3200,LAC@NE 01/11/2026 08:00PM ET,NE,7.47
WR,Keon Coleman (41434990),Keon Coleman,41434990,WR/FLEX,3200,BUF@JAX 01/11/2026 01:00PM ET,BUF,8.18
WR,Darius Cooper (41434994),Darius Cooper,41434994,WR/FLEX,3100,SF@PHI 01/11/2026 04:30PM ET,PHI,1.4
WR,Tim Patrick (41434996),Tim Patrick,41434996,WR/FLEX,3100,BUF@JAX 01/11/2026 01:00PM ET,JAX,3.23
WR,Tyrell Shavers (41434998),Tyrell Shavers,41434998,WR/FLEX,3100,BUF@JAX 01/11/2026 01:00PM ET,BUF,2.68
WR,Skyy Moore (41435034),Skyy Moore,41435034,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0.87
WR,Jordan Watkins (41435036),Jordan Watkins,41435036,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0.92
WR,Brandon Aiyuk (41435038),Brandon Aiyuk,41435038,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0
WR,Jacob Cowing (41435040),Jacob Cowing,41435040,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0
WR,Trent Taylor (41435042),Trent Taylor,41435042,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0
WR,Javon Baker (41435044),Javon Baker,41435044,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0
WR,Junior Bergen (41435046),Junior Bergen,41435046,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0
WR,Malik Turner (41435048),Malik Turner,41435048,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,SF,0
WR,Britain Covey (41435050),Britain Covey,41435050,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,PHI,0.67
WR,Johnny Wilson (41435052),Johnny Wilson,41435052,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
WR,Terrace Marshall (41435054),Terrace Marshall,41435054,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
WR,Danny Gray (41435056),Danny Gray,41435056,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
WR,Quez Watkins (41435058),Quez Watkins,41435058,WR/FLEX,3000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
WR,KeAndre Lambert-Smith (41435000),KeAndre Lambert-Smith,41435000,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,LAC,1.61
WR,Derius Davis (41435020),Derius Davis,41435020,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,LAC,0.23
WR,JaQuae Jackson (41435022),JaQuae Jackson,41435022,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,LAC,0
WR,Dalevon Campbell (41435024),Dalevon Campbell,41435024,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,LAC,0
WR,Mack Hollins (41435026),Mack Hollins,41435026,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,NE,7.76
WR,Jeremiah Webb (41435028),Jeremiah Webb,41435028,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,NE,0
WR,John Jiles (41435030),John Jiles,41435030,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,NE,0
WR,Brandon Smith (41435032),Brandon Smith,41435032,WR/FLEX,3000,LAC@NE 01/11/2026 08:00PM ET,NE,0
WR,Dyami Brown (41435002),Dyami Brown,41435002,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,JAX,3.62
WR,Travis Hunter (41435004),Travis Hunter,41435004,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,JAX,9.54
WR,Joshua Cephus (41435006),Joshua Cephus,41435006,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,JAX,0
WR,Tim Jones (41435008),Tim Jones,41435008,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,JAX,0.62
WR,Chandler Brayboy (41435010),Chandler Brayboy,41435010,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,JAX,0
WR,Austin Trammell (41435012),Austin Trammell,41435012,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,JAX,1.27
WR,Curtis Samuel (41435014),Curtis Samuel,41435014,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,BUF,3.52
WR,Stephen Gosnell (41435016),Stephen Gosnell,41435016,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,BUF,0
WR,Mecole Hardman Jr. (41435018),Mecole Hardman Jr.,41435018,WR/FLEX,3000,BUF@JAX 01/11/2026 01:00PM ET,BUF,-0.5
DST,Bills  (41435119),Bills ,41435119,DST,3000,BUF@JAX 01/11/2026 01:00PM ET,BUF,6.47
DST,Eagles  (41435120),Eagles ,41435120,DST,2900,SF@PHI 01/11/2026 04:30PM ET,PHI,7.94
TE,Jake Tonges (41435074),Jake Tonges,41435074,TE/FLEX,2700,SF@PHI 01/11/2026 04:30PM ET,SF,5.49
DST,Jaguars  (41435121),Jaguars ,41435121,DST,2700,BUF@JAX 01/11/2026 01:00PM ET,JAX,8.47
TE,Grant Calcaterra (41435076),Grant Calcaterra,41435076,TE/FLEX,2600,SF@PHI 01/11/2026 04:30PM ET,PHI,1.51
TE,Luke Farrell (41435108),Luke Farrell,41435108,TE/FLEX,2500,SF@PHI 01/11/2026 04:30PM ET,SF,1.79
TE,Brayden Willis (41435110),Brayden Willis,41435110,TE/FLEX,2500,SF@PHI 01/11/2026 04:30PM ET,SF,0
TE,Kylen Granson (41435112),Kylen Granson,41435112,TE/FLEX,2500,SF@PHI 01/11/2026 04:30PM ET,PHI,0.65
TE,Cameron Latu (41435114),Cameron Latu,41435114,TE/FLEX,2500,SF@PHI 01/11/2026 04:30PM ET,PHI,0
TE,E.J. Jenkins (41435116),E.J. Jenkins,41435116,TE/FLEX,2500,SF@PHI 01/11/2026 04:30PM ET,PHI,0
TE,Will Dissly (41435092),Will Dissly,41435092,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,LAC,2.3
TE,Tyler Conklin (41435094),Tyler Conklin,41435094,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,LAC,1.33
TE,Tucker Fisk (41435096),Tucker Fisk,41435096,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,LAC,0.39
TE,Thomas Yassmin (41435098),Thomas Yassmin,41435098,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,LAC,0
TE,Tanner McLachlan (41435100),Tanner McLachlan,41435100,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,LAC,0
TE,Austin Hooper (41435102),Austin Hooper,41435102,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,NE,3.71
TE,CJ Dippre (41435104),CJ Dippre,41435104,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,NE,0
TE,Marshall Lang (41435106),Marshall Lang,41435106,TE/FLEX,2500,LAC@NE 01/11/2026 08:00PM ET,NE,0
TE,Jackson Hawes (41435078),Jackson Hawes,41435078,TE/FLEX,2500,BUF@JAX 01/11/2026 01:00PM ET,BUF,3.1
TE,Johnny Mundt (41435080),Johnny Mundt,41435080,TE/FLEX,2500,BUF@JAX 01/11/2026 01:00PM ET,JAX,1.26
TE,Quintin Morris (41435082),Quintin Morris,41435082,TE/FLEX,2500,BUF@JAX 01/11/2026 01:00PM ET,JAX,1.25
TE,Hunter Long (41435084),Hunter Long,41435084,TE/FLEX,2500,BUF@JAX 01/11/2026 01:00PM ET,JAX,3.61
TE,Patrick Herbert (41435086),Patrick Herbert,41435086,TE/FLEX,2500,BUF@JAX 01/11/2026 01:00PM ET,JAX,0
TE,Jordan Akins (41435088),Jordan Akins,41435088,TE/FLEX,2500,BUF@JAX 01/11/2026 01:00PM ET,JAX,0
TE,Keleki Latu (41435090),Keleki Latu,41435090,TE/FLEX,2500,BUF@JAX 01/11/2026 01:00PM ET,BUF,1.5
DST,49ers  (41435122),49ers ,41435122,DST,2400,SF@PHI 01/11/2026 04:30PM ET,SF,4.59
DST,Chargers  (41435123),Chargers ,41435123,DST,2200,LAC@NE 01/11/2026 08:00PM ET,LAC,6.53
